,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
571,Babies,2010,79,Documentary,7.1,6672,PL,,Thomas Balmès,,,"director,producer,cinematographer",director,,,,,,,,,,,
573,Happiness,2013,80,"Documentary,Drama,Family",7.1,270,RU,,Thomas Balmès,,,"director,producer,cinematographer",director,,,,,,,,,,,
574,Chopsticks,2019,100,"Comedy,Drama",6.5,1394,BR,,Sachin Yardi,,,"writer,director",director,,,,,,,,,,,
576,L'homme a mangé la Terre,2019,99,Documentary,8.3,23,FR,,Jean-Robert Viallet,1970,,"director,cinematographer,camera_department",director,,,,,,,,,,,
579,Dead Americans,2010,,Sci-Fi,7.4,17,US,,Ken Collins,,,"actor,stunts,director",actor,,"[""Sandman""]",,,,,,,,,
580,Kill Speed,2010,113,"Action,Crime,Thriller",4,1782,BR,,Kim Bass,1956,,"writer,miscellaneous,producer",director,,,,,,,,,,,
581,Krrish 3,2013,152,"Action,Adventure,Sci-Fi",5.3,18891,IN,,Rakesh Roshan,1949,,"actor,producer,director",director,,,,,,,,,,,
589,Uyut,2019,147,"Comedy,Drama",6.9,15,BG,bg,Kamen Donev,1971,,"actor,director,writer",actor,,"[""Yanko Palamarkov""]",,,,,,,,,
590,Tell No One,2019,121,Documentary,8.9,2111,,,Tomasz Sekielski,,,"director,writer,actor",director,,,,,,,,,,,
591,Beautiful Girl,2014,90,Drama,5.1,310,,,Stevie Long,1972,,"producer,writer,actor",actor,,"[""Angry Jack""]",,,,,,,,,
592,The Warrior's Way,2010,100,"Action,Fantasy,Western",6.3,24271,FI,,Sngmoo Lee,,,"director,writer",director,,,,,,,,,,,
594,Inseparable,2011,97,"Drama,Mystery",5.4,1978,,,Dayyan Eng,1975,,"producer,director,writer",director,,,,,,,,,,,
595,The Descendants,2011,115,"Comedy,Drama",7.3,223464,CA,fr,Alexander Payne,1961,,"producer,director,writer",director,,,,,,,,,,,
599,Somewhere Tonight,2011,85,"Comedy,Drama,Romance",5.9,242,,,Michael Di Jiacomo,,,"writer,director,producer",director,,,,,,,,,,,
600,Iron Sky,2012,93,"Action,Comedy,Sci-Fi",5.9,87609,GR,,Timo Vuorensola,1979,,"director,actor,writer",director,,,,,,,,,,,
604,Iron Sky: The Coming Race,2019,90,"Action,Adventure,Comedy",5.1,3069,,,Timo Vuorensola,1979,,"director,actor,writer",director,,,,,,,,,,,
609,The Photon Effect,2010,102,Sci-Fi,4.7,64,US,,Dan Poole,,,"actor,stunts,director",actor,,"[""Derek Powers"",""Family Member on Street""]",,,,,,,,,
610,Legion,2010,100,"Action,Fantasy,Horror",5.2,92709,GR,,Scott Stewart,,,"producer,writer,visual_effects",director,,,,,,,,,,,
612,Dark Skies,2013,97,"Horror,Sci-Fi,Thriller",6.3,65754,AR,,Scott Stewart,,,"producer,writer,visual_effects",director,,,,,,,,,,,
613,The Story of Luke,2012,96,"Comedy,Drama",7.2,2873,PT,,Alonso Mayo,1978,,"director,editor,cinematographer",director,,,,,,,,,,,
614,Let the Game Begin,2010,110,"Comedy,Drama,Mystery",5.4,572,US,,Amit Gupta,,,"producer,actor,director",director,,,,,,,,,,,
615,Zip & Zap and the Marble Gang,2013,97,"Adventure,Comedy,Family",5.5,768,ES,,Oskar Santos,1972,,"assistant_director,director,writer",director,,,,,,,,,,,
620,Zip & Zap and the Captain's Island,2016,105,"Adventure,Comedy,Family",5.7,376,IT,,Oskar Santos,1972,,"assistant_director,director,writer",director,,,,,,,,,,,
623,Silver Linings Playbook,2012,122,"Comedy,Drama,Romance",7.7,621018,VE,,David O. Russell,1958,,"producer,director,writer",director,,,,,,,,,,,
625,American Hustle,2013,138,"Crime,Drama",7.2,418221,LT,,David O. Russell,1958,,"producer,director,writer",director,,,,,,,,,,,
627,Joy,2015,124,Drama,6.6,118086,AR,,David O. Russell,1958,,"producer,director,writer",director,,,,,,,,,,,
629,Unfinished Song,2012,90,"Comedy,Drama,Music",7,6709,ES,,Paul Andrew Williams,1973,,"director,writer,producer",director,,,,,,,,,,,
630,Aaj Kal,2010,90,"Comedy,Romance",6.4,9,US,,Tarun Verma,,,"writer,producer,director",actor,,"[""Saahil""]",,,,,,,,,
631,Camp Hell,2010,99,"Drama,Horror",3.5,1985,US,en,George VanBuskirk,1971,,"producer,writer,director",director,,,,,,,,,,,
632,Howl,2010,84,"Biography,Drama,Romance",6.8,12096,RU,,Jeffrey Friedman,1951,,"producer,director,editor",director,,,,,,,,,,,
638,Howl,2010,84,"Biography,Drama,Romance",6.8,12096,BR,,Rob Epstein,1955,,"producer,director,writer",director,,,,,,,,,,,
644,One Lucky Elephant,2010,84,Documentary,6.6,184,,,Lisa Leeman,,,"editor,director,writer",director,,,,,,,,,,,
646,Just Like Our Parents,2017,102,Drama,7.3,1350,ES,,Laís Bodanzky,1969,,"director,producer,writer",director,,,,,,,,,,,
648,The Dead Matter,2010,90,"Fantasy,Horror",3.5,826,US,,Edward Douglas,,,"music_department,composer,producer",director,,,,,,,,,,,
650,Spud,2010,103,"Comedy,Drama",6.7,2384,,,Donovan Marsh,,,"director,writer,editor",director,,,,,,,,,,,
652,Small Town Saturday Night,2010,94,Drama,5.4,1114,GR,,Ryan Craig,1974,,"director,producer,actor",director,,,,,,,,,,,
653,Boyhood,2014,165,Drama,7.9,315584,AR,,Richard Linklater,1960,,"producer,director,writer",director,,,,,,,,,,,
654,Before Midnight,2013,109,"Drama,Romance",7.9,123107,US,,Richard Linklater,1960,,"producer,director,writer",director,,,,,,,,,,,
658,The Ascension,2011,93,"Drama,Horror",4.5,34,FR,,Robert Stock,,,"producer,director,writer",director,,,,,,,,,,,
659,Rednecks,2017,98,"Comedy,Musical",7,1183,US,,John Birmingham,1977,,"actor,producer,editor",actor,,"[""Jimbo Redneck""]",,,,,,,,,
660,Monte Carlo,2011,109,"Adventure,Comedy,Family",5.8,38731,FI,sv,Thomas Bezucha,1964,,"writer,director",director,,,,,,,,,,,
665,Midnight Son,2011,88,Horror,5.9,1656,,,Scott Leberecht,,,"visual_effects,director,writer",director,,,,,,,,,,,
666,The Two Deaths of Quincas Wateryell,2010,104,"Comedy,Drama",6.3,451,BR,,Sérgio Machado,1968,,"writer,director,assistant_director",director,,,,,,,,,,,
668,The Violin Teacher,2015,102,"Drama,Music",6.8,617,IL,he,Sérgio Machado,1968,,"writer,director,assistant_director",director,,,,,,,,,,,
673,Liz in September,2014,100,"Drama,Romance",5.5,983,DK,,Fina Torres,1951,,"writer,director,producer",director,,,,,,,,,,,
675,Elvis & Madonna,2010,105,"Comedy,Romance",6.2,180,BR,,Marcelo Laffitte,1963,,"producer,director,writer",director,,,,,,,,,,,
677,Winchester,2018,99,"Biography,Drama,Fantasy",5.4,24351,MX,,Peter Spierig,,,"director,writer,visual_effects",director,,,,,,,,,,,
683,Predestination,2014,97,"Drama,Mystery,Sci-Fi",7.5,225349,RS,,Peter Spierig,,,"director,writer,visual_effects",director,,,,,,,,,,,
689,Winchester,2018,99,"Biography,Drama,Fantasy",5.4,24351,LT,,Michael Spierig,,,"director,writer,visual_effects",director,,,,,,,,,,,
695,Predestination,2014,97,"Drama,Mystery,Sci-Fi",7.5,225349,CL,,Michael Spierig,,,"director,writer,visual_effects",director,,,,,,,,,,,
701,Free Birds,2013,91,"Adventure,Animation,Comedy",5.9,20934,BR,,Jimmy Hayward,,,"actor,animation_department,director",director,,,,,,,,,,,
706,The Dark Party,2013,95,"Drama,Romance",7.2,13,US,,Kadeem Hardison,1965,,"actor,director,writer",actor,,"[""Jeff""]",,,,,,,,,
711,The Girl from the Naked Eye,2012,84,"Action,Crime,Mystery",4.9,1929,RU,,David Ren,,,"cinematographer,director,writer",director,,,,,,,,,,,
714,Jerry Cotton,2010,90,"Action,Comedy,Crime",5.3,840,FR,,Cyrill Boss,1974,,"writer,director,camera_department",director,,,,,,,,,,,
722,Victor and the Secret of Crocodile Mansion,2012,96,"Adventure,Family,Mystery",6.4,354,PL,,Cyrill Boss,1974,,"writer,director,camera_department",director,,,,,,,,,,,
732,Pusher,2010,107,"Action,Crime,Drama",6.2,584,GB,,Assad Raja,,,"actor,writer,director",actor,,"[""Salim""]",,,,,,,,,
735,Crescent City,2011,81,Drama,8.9,8,US,,Darren Marshall,1981,,"editor,camera_department,producer",actor,,"[""Ben Willman""]",,,,,,,,,
736,Once Fallen,2010,93,Crime,4.8,1146,ES,,Ash Adams,1963,,"actor,writer,producer",director,,,,,,,,,,,
737,Guys from Mars,2011,92,Comedy,5.2,77,RU,,Sergey Osipyan,,,"writer,director,producer",director,,,,,,,,,,,
739,Calavera Highway,2010,88,Documentary,7.6,12,US,,Renee Tajima-Pena,,,"producer,director,writer",director,,,,,,,,,,,
741,Lone Survivor,2013,121,"Action,Biography,Drama",7.5,246641,UA,,Peter Berg,1964,,"producer,actor,writer",director,,,,,,,,,,,
744,Bereavement,2010,103,"Crime,Horror,Thriller",5.1,6239,US,,Stevan Mena,,,"director,composer,producer",director,,,,,,,,,,,
745,Malevolence 3: Killer,2018,89,Horror,6.2,1632,US,,Stevan Mena,,,"director,composer,producer",director,,,,,,,,,,,
746,Oblivion,2013,124,"Action,Adventure,Sci-Fi",7,453966,BG,bg,Joseph Kosinski,1974,,"director,writer,producer",director,,,,,,,,,,,
749,Eva,2010,111,Drama,5.4,334,RO,,Adrian Popovici,,,"producer,director,composer",director,,,,,,,,,,,
752,Ca$h,2010,108,"Crime,Thriller",6,8605,CA,fr,Stephen Milburn Anderson,1947,2015,"producer,writer,production_manager",director,,,,,,,,,,,
753,Alex & Ali,2014,84,"Documentary,Drama,Romance",6.2,29,US,,Malachi Leopold,,,"director,producer,cinematographer",director,,,,,,,,,,,
754,Between Us,2012,90,Drama,4.6,943,RU,,Dan Mirvish,1967,,"writer,director,producer",director,,,,,,,,,,,
756,Paddington,2014,95,"Adventure,Comedy,Family",7.2,84679,BG,bg,Paul King,,,"director,writer,assistant_director",director,,,,,,,,,,,
759,Paddington 2,2017,103,"Adventure,Comedy,Family",7.9,46481,UY,,Paul King,,,"director,writer,assistant_director",director,,,,,,,,,,,
764,Icebound,2012,89,Documentary,7.5,18,GB,,Daniel Anker,1964,2014,"producer,director,music_department",director,,,,,,,,,,,
766,Blue Valentine,2010,112,"Drama,Romance",7.4,170089,CZ,,Derek Cianfrance,1974,,"director,writer,cinematographer",director,,,,,,,,,,,
769,The Place Beyond the Pines,2012,140,"Crime,Drama,Thriller",7.3,226765,UA,,Derek Cianfrance,1974,,"director,writer,cinematographer",director,,,,,,,,,,,
772,The Light Between Oceans,2016,133,"Drama,Romance",7.2,46247,RS,,Derek Cianfrance,1974,,"director,writer,cinematographer",director,,,,,,,,,,,
774,Money Fight,2012,119,"Action,Drama",4.4,478,DE,,Kenneth Chamitoff,,,"actor,editorial_department,producer",director,,,,,,,,,,,
776,Flying Swords of Dragon Gate,2011,122,"Action,Adventure",6,7295,HU,,Hark Tsui,1950,,"producer,director,writer",director,,,,,,,,,,,
777,The Taking of Tiger Mountain,2014,141,"Action,Adventure,Biography",6.5,2456,CN,,Hark Tsui,1950,,"producer,director,writer",director,,,,,,,,,,,
784,The Ides of March,2011,101,"Drama,Thriller",7.1,207417,IT,,George Clooney,1961,,"actor,producer,director",actor,,"[""Governor Mike Morris""]",,,,,,,,,
787,The Monuments Men,2014,118,"Comedy,Drama,History",6.1,117638,FR,,George Clooney,1961,,"actor,producer,director",actor,,"[""Frank Stokes""]",,,,,,,,,
791,Burlesque,2010,119,"Drama,Music,Musical",6.4,71021,HR,,Steve Antin,1958,,"actor,writer,producer",director,,,,,,,,,,,
792,Mission London,2010,107,Comedy,7.4,5888,RS,,Dimitar Mitovski,1964,,"producer,writer,director",director,,,,,,,,,,,
795,The Girl,2012,95,"Crime,Drama,Thriller",6.2,1140,US,,David Riker,,,"writer,director,editor",director,,,,,,,,,,,
796,Here,2011,126,"Adventure,Drama,Romance",6,855,,,Braden King,,,"director,producer,cinematographer",director,,,,,,,,,,,
798,Skinning,2010,98,"Action,Crime,Drama",6.5,4349,DE,,Stevan Filipovic,1981,,"editor,director,writer",director,,,,,,,,,,,
802,The 5th Quarter,2010,90,"Biography,Drama,Sport",5.7,1379,BR,,Rick Bieber,,,"producer,director,writer",director,,,,,,,,,,,
803,Sinners and Saints,2010,104,"Action,Crime,Thriller",6.2,5136,GB,,William Kaufman,,,"director,writer,producer",director,,,,,,,,,,,
805,The Night Clerk,2011,104,"Drama,Thriller",6.4,571,CA,fr,Raphaël Jacoulot,,,"director,writer,actor",director,,,,,,,,,,,
807,Heat Wave,2015,102,"Crime,Drama",6,328,AU,,Raphaël Jacoulot,,,"director,writer,actor",director,,,,,,,,,,,
809,Basmati Blues,2017,106,"Comedy,Musical,Romance",3.6,1190,BG,bg,Dan Baron,,,"writer,director,actor",director,,,,,,,,,,,
812,Maria Costa's Macho Men and the Women Who Love Them,2010,69,Comedy,7.6,11,US,,María Costa,,,"actress,producer,writer",actress,,"[""Maria Costa"",""Mother inLaw"",""Lupita""]",,,,,,,,,
821,The Factory,2012,104,"Crime,Mystery,Thriller",5.8,10075,ES,,Morgan O'Neill,1973,,"actor,writer,director",director,,,,,,,,,,,
823,Drift,2013,113,"Biography,Drama,Sport",6.3,4454,SE,,Morgan O'Neill,1973,,"actor,writer,director",director,,,,,,,,,,,
827,Trader Games,2010,85,"Action,Drama,Thriller",4.7,357,CA,en,Fabrice Genestal,,,"director,writer",director,,,,,,,,,,,
829,Takers,2010,107,"Action,Crime,Thriller",6.2,53377,HU,,John Luessenhop,,,"director,writer,producer",director,,,,,,,,,,,
833,Sonny Boy,2011,130,"Biography,Drama,Romance",6.4,2789,RO,,Maria Peters,1958,,"producer,writer,director",director,,,,,,,,,,,
836,The Ghost Writer,2010,128,"Drama,Mystery,Thriller",7.2,148274,SI,,Roman Polanski,1933,,"actor,director,writer",director,,,,,,,,,,,
838,Carnage,2011,80,"Comedy,Drama",7.2,111372,BG,bg,Roman Polanski,1933,,"actor,director,writer",director,,,,,,,,,,,
841,"One Life, Maybe Two",2010,88,Drama,6.3,142,,,Alessandro Aronadio,1975,,"writer,director,assistant_director",director,,,,,,,,,,,
843,Orecchie,2016,90,Comedy,7.2,254,HU,,Alessandro Aronadio,1975,,"writer,director,assistant_director",director,,,,,,,,,,,
845,I Believe in Unicorns,2014,80,Drama,6.1,735,IT,,Leah Meyerhoff,1979,,"producer,director,writer",director,,,,,,,,,,,
846,By Day and by Night,2010,90,"Drama,Sci-Fi",5.7,66,,,Alejandro Molina,,,"producer,editor,writer",director,,,,,,,,,,,
848,Following the Ninth: In the Footsteps of Beethoven's Final Symphony,2013,78,"Documentary,Drama,History",8.5,48,US,,Kerry Candaele,,,"producer,director,writer",director,,,,,,,,,,,
849,Dolls of Voodoo,2013,78,Thriller,3,67,,,Kenya Moore,1971,,"actress,producer,director",actress,,"[""Nadine""]",,,,,,,,,
854,Small Timers,2011,79,"Adventure,Comedy,Crime",8,18,US,,Jonny Cruz,1982,,"actor,director,writer",actor,,"[""Ricardo""]",,,,,,,,,
858,Beastly,2011,86,"Drama,Fantasy,Romance",5.6,72599,PL,,Daniel Barnz,,,"director,writer,producer",director,,,,,,,,,,,
860,Cold Water of the Sea,2010,83,Drama,5.6,162,FR,,Paz Fábrega,,,"director,writer,producer",director,,,,,,,,,,,
861,Silent Sonata,2011,77,"Drama,War",7.2,265,GR,,Janez Burger,1965,,"director,writer,actor",director,,,,,,,,,,,
862,Ivan,2017,91,Drama,7.4,165,SI,,Janez Burger,1965,,"director,writer,actor",director,,,,,,,,,,,
866,On the Path,2010,100,Drama,7,1722,SE,,Jasmila Zbanic,1974,,"director,writer,producer",director,,,,,,,,,,,
867,Love Island,2014,86,"Comedy,Romance",5.7,323,FR,,Jasmila Zbanic,1974,,"director,writer,producer",director,,,,,,,,,,,
869,For Those Who Can Tell No Tales,2013,82,Drama,6.5,229,FR,,Jasmila Zbanic,1974,,"director,writer,producer",director,,,,,,,,,,,
872,Never Grow Old,2019,100,"Action,Drama,Western",5.7,1034,,,Ivan Kavanagh,,,"director,writer,editor",director,,,,,,,,,,,
873,The Canal,2014,92,"Horror,Mystery,Thriller",5.9,12190,,,Ivan Kavanagh,,,"director,writer,editor",director,,,,,,,,,,,
874,Cheerful Weather for the Wedding,2012,89,"Comedy,Drama,Romance",5.6,2048,TR,tr,Donald Rice,1977,,"director,writer,miscellaneous",director,,,,,,,,,,,
877,Heels,2010,102,"Comedy,Romance",4.7,27,US,,Ricky Reidling,,,"actor,director,writer",actor,,"[""Kevin""]",,,,,,,,,
878,The Colony,2013,95,"Action,Horror,Sci-Fi",5.3,40761,PL,,Jeff Renfroe,,,"director,producer,assistant_director",director,,,,,,,,,,,
882,Biutiful,2010,148,"Drama,Romance",7.5,80382,TR,tr,Alejandro G. Iñárritu,1963,,"producer,director,writer",director,,,,,,,,,,,
885,The Revenant,2015,156,"Action,Adventure,Biography",8,621193,US,,Alejandro G. Iñárritu,1963,,"producer,director,writer",director,,,,,,,,,,,
888,Don't Be Bad,2015,100,"Crime,Drama",7.2,2937,XWW,en,Claudio Caligari,1948,2015,"director,writer",director,,,,,,,,,,,
891,22 Bullets,2010,117,"Action,Crime,Drama",6.7,30360,,,Richard Berry,1950,,"actor,writer,director",director,,,,,,,,,,,
896,Our Women,2015,95,"Comedy,Drama",5.1,407,AR,,Richard Berry,1950,,"actor,writer,director",actor,,"[""Max""]",,,,,,,,,
898,Saint,2010,85,Horror,5.6,8024,DE,,Dick Maas,1951,,"writer,director,producer",director,,,,,,,,,,,
899,Prey,2016,107,"Comedy,Horror,Thriller",5.1,1205,FR,,Dick Maas,1951,,"writer,director,producer",director,,,,,,,,,,,
900,Baggage Claim,2013,96,Comedy,5.1,8296,US,,David E. Talbert,1966,,"writer,director,producer",director,,,,,,,,,,,
901,Almost Christmas,2016,111,"Comedy,Drama",6.1,5212,,,David E. Talbert,1966,,"writer,director,producer",director,,,,,,,,,,,
902,Delhi Safari,2012,96,"Animation,Comedy,Drama",5.7,1455,IN,,Nikkhil Advani,1971,,"writer,director,producer",director,,,,,,,,,,,
907,The Company Men,2010,104,Drama,6.8,41139,GR,,John Wells,1956,,"producer,writer,director",director,,,,,,,,,,,
908,The Bang Bang Club,2010,106,"Biography,Drama,History",7,9584,BR,,Steven Silver,,,"producer,director,writer",director,,,,,,,,,,,
912,Raw Material,2011,78,Documentary,7.7,62,XWW,en,Hristos Karakepelis,1962,,"director,writer,producer",director,,,,,,,,,,,
914,The Myth of the American Sleepover,2010,96,"Comedy,Drama,Romance",6.3,3437,PL,,David Robert Mitchell,1974,,"writer,director,producer",director,,,,,,,,,,,
915,It Follows,2014,100,"Horror,Mystery",6.9,182839,CA,fr,David Robert Mitchell,1974,,"writer,director,producer",director,,,,,,,,,,,
916,Under the Silver Lake,2018,139,"Comedy,Crime,Drama",6.4,16390,DE,,David Robert Mitchell,1974,,"writer,director,producer",director,,,,,,,,,,,
917,Cold in July,2014,109,"Crime,Thriller",6.8,32084,HU,,Jim Mickle,,,"writer,camera_department,director",director,,,,,,,,,,,
920,Stake Land,2010,98,"Drama,Horror,Sci-Fi",6.5,38749,MX,,Jim Mickle,,,"writer,camera_department,director",director,,,,,,,,,,,
922,We Are What We Are,2013,105,"Drama,Horror,Thriller",5.9,18381,,,Jim Mickle,,,"writer,camera_department,director",director,,,,,,,,,,,
925,Buddies,2012,94,"Adventure,Comedy,Drama",6.8,955,,,Marcelo Galvão,1973,,"director,writer,producer",director,,,,,,,,,,,
926,The Killer,2017,99,Western,6,1671,RU,,Marcelo Galvão,1973,,"director,writer,producer",director,,,,,,,,,,,
927,The Reconquest,2016,108,Drama,6.8,618,ES,,Jonás Trueba,1981,,"director,writer,miscellaneous",director,,,,,,,,,,,
928,Black Death,2010,102,"Action,Adventure,Drama",6.4,41103,DE,,Christopher Smith,1970,,"director,writer,producer",director,,,,,,,,,,,
930,Bunraku,2010,124,"Action,Drama,Fantasy",6.2,18350,US,,Guy Moshe,,,"writer,director,producer",director,,,,,,,,,,,
932,Jack and the Cuckoo-Clock Heart,2013,94,"Adventure,Animation,Drama",7,5494,NO,,Mathias Malzieu,1974,,"actor,writer,director",actor,,"[""Jack""]",,,,,,,,,
934,Dulha Mil Gaya,2010,152,"Comedy,Drama,Romance",4.4,2284,DE,,Mudassar Aziz,,,"writer,music_department,soundtrack",director,,,,,,,,,,,
937,The Village of Shadows,2010,103,"Horror,Mystery,Thriller",4.3,400,BR,,Fouad Benhammou,,,"director,editor,producer",director,,,,,,,,,,,
940,Teen Patti,2010,142,"Crime,Drama,Thriller",4.1,1300,DE,,Leena Yadav,1971,,"director,writer,producer",director,,,,,,,,,,,
943,Parched,2015,116,Drama,7.6,4124,MX,,Leena Yadav,1971,,"director,writer,producer",director,,,,,,,,,,,
945,Corman's World: Exploits of a Hollywood Rebel,2011,95,Documentary,7.6,2063,FR,,Alex Stapleton,,,"producer,director,writer",director,,,,,,,,,,,
946,Peacock,2010,90,"Drama,Horror,Thriller",6.3,10057,SI,,Michael Lander,,,"director,writer",director,,,,,,,,,,,
948,The Skin I Live In,2011,120,"Drama,Horror,Thriller",7.6,123434,MX,,Pedro Almodóvar,1949,,"writer,director,soundtrack",director,,,,,,,,,,,
951,The Hunter,2010,90,"Drama,Thriller",6.3,1374,PT,,Rafi Pitts,1967,,"writer,director,producer",actor,,"[""Ali Alavi""]",,,,,,,,,
952,Soy Nero,2016,117,Drama,6.3,468,XWW,en,Rafi Pitts,1967,,"writer,director,producer",director,,,,,,,,,,,
954,Right Yaaa Wrong,2010,135,"Crime,Drama,Thriller",6.4,782,AT,,Neeraj Pathak,,,"writer,director,music_department",director,,,,,,,,,,,
958,Rango,2011,107,"Adventure,Animation,Comedy",7.2,215761,BG,bg,Gore Verbinski,1964,,"director,producer,writer",director,,,,,,,,,,,
962,A Cure for Wellness,2016,146,"Drama,Fantasy,Horror",6.4,70941,PT,,Gore Verbinski,1964,,"director,producer,writer",director,,,,,,,,,,,
964,Tactical Force,2011,91,"Action,Comedy,Crime",4.8,5396,CA,fr,Adamo P. Cultraro,1973,,"producer,director,writer",director,,,,,,,,,,,
965,My Own Love Song,2010,102,"Comedy,Drama",5.8,1419,CA,fr,Olivier Dahan,1967,,"director,writer,producer",director,,,,,,,,,,,
966,Into Eternity: A Film for the Future,2010,75,Documentary,7.4,2697,DK,,Michael Madsen,1971,,"director,writer,cinematographer",self,,"[""Himself""]",,,,,,,,,
968,The Average of the Average,2011,51,Documentary,7,7,DK,,Michael Madsen,1971,,"director,writer,cinematographer",director,,,,,,,,,,,
